Date : 2026-03-12 17:08:22
Directory : /home/samnang/Documents/apsor-frontend/src
Total : 76 files,  29 codes, 4 comments, 392 blanks, all 425 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
+----------------+------------+------------+------------+------------+------------+
| JavaScript JSX |         55 |      2,790 |          6 |        248 |      3,044 |
| JavaScript     |         16 |        773 |         -2 |        153 |        924 |
| PostCSS        |          1 |         27 |          0 |          4 |         31 |
| HTML           |          1 |        -13 |          0 |         -1 |        -14 |
| Markdown       |          1 |        -19 |          0 |        -10 |        -29 |
| JSON           |          2 |     -3,529 |          0 |         -2 |     -3,531 |
+----------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                         | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                            |         76 |         29 |          4 |        392 |        425 |
| . (Files)                                                                                    |          2 |         37 |          0 |          5 |         42 |
| ..                                                                                           |          7 |     -3,711 |         -2 |        -18 |     -3,731 |
| admin                                                                                        |         14 |      2,074 |          6 |        201 |      2,281 |
| admin (Files)                                                                                |          1 |         22 |          4 |         12 |         38 |
| admin/components                                                                             |          7 |      1,230 |          2 |         97 |      1,329 |
| admin/data                                                                                   |          1 |         19 |          0 |          1 |         20 |
| admin/pages                                                                                  |          2 |        578 |          0 |         66 |        644 |
| admin/utils                                                                                  |          3 |        225 |          0 |         25 |        250 |
| api                                                                                          |          2 |        251 |          0 |         52 |        303 |
| auth                                                                                         |          5 |     -1,305 |          0 |       -125 |     -1,430 |
| category                                                                                     |          1 |       -136 |          0 |        -12 |       -148 |
| components                                                                                   |          7 |        606 |          0 |         58 |        664 |
| components/auth                                                                              |          1 |        130 |          0 |         11 |        141 |
| components/categories                                                                        |          1 |         25 |          0 |          2 |         27 |
| components/services                                                                          |          1 |          5 |          0 |          0 |          5 |
| components/shared                                                                            |          4 |        446 |          0 |         45 |        491 |
