Date : 2026-03-18 17:02:23
Directory : /home/samnang/Documents/apsor-frontend/src
Total : 103 files,  17645 codes, 30 comments, 1748 blanks, all 19423 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
+----------------+------------+------------+------------+------------+------------+
| JavaScript JSX |         73 |     14,687 |         22 |      1,446 |     16,155 |
| JavaScript     |         28 |      2,856 |          8 |        278 |      3,142 |
| PostCSS        |          2 |        102 |          0 |         24 |        126 |
+----------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                         | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                            |        103 |     17,645 |         30 |      1,748 |     19,423 |
| . (Files)                                                                                    |          4 |        188 |          1 |         34 |        223 |
| admin                                                                                        |         31 |      4,910 |          6 |        518 |      5,434 |
| admin (Files)                                                                                |          1 |         22 |          4 |         12 |         38 |
| admin/components                                                                             |         14 |      2,222 |          2 |        190 |      2,414 |
| admin/data                                                                                   |          1 |         19 |          0 |          1 |         20 |
| admin/pages                                                                                  |          7 |      2,065 |          0 |        265 |      2,330 |
| admin/protected                                                                              |          1 |         19 |          0 |          6 |         25 |
| admin/utils                                                                                  |          7 |        563 |          0 |         44 |        607 |
| api                                                                                          |          2 |        544 |          3 |        102 |        649 |
| components                                                                                   |         28 |      2,841 |         15 |        298 |      3,154 |
| components/auth                                                                              |          2 |        185 |          0 |         14 |        199 |
| components/categories                                                                        |          3 |        128 |          0 |         13 |        141 |
| components/provider                                                                          |          1 |         25 |          0 |          2 |         27 |
| components/services                                                                          |         12 |        987 |          0 |        121 |      1,108 |
| components/services (Files)                                                                  |          8 |        906 |          0 |        112 |      1,018 |
| components/services/upload                                                                   |          4 |         81 |          0 |          9 |         90 |
| components/shared                                                                            |         10 |      1,516 |         15 |        148 |      1,679 |
| data                                                                                         |          5 |        854 |          0 |          5 |        859 |
| helper                                                                                       |          1 |        998 |          0 |         27 |      1,025 |
| hooks                                                                                        |          2 |         60 |          0 |         12 |         72 |
| i18n                                                                                         |          2 |        231 |          4 |          8 |        243 |
| layouts                                                                                      |          1 |         19 |          0 |          2 |         21 |
| page                                                                                         |         21 |      6,629 |          0 |        674 |      7,303 |
| page/auth                                                                                    |          8 |      1,302 |          0 |        148 |      1,450 |
| page/category                                                                                |          1 |        141 |          0 |         11 |        152 |
| page/home                                                                                    |          1 |         47 |          0 |          9 |         56 |
| page/order                                                                                   |          2 |        651 |          0 |         44 |        695 |
| page/payment                                                                                 |          1 |        182 |          0 |         19 |        201 |
| page/profile                                                                                 |          1 |        272 |          0 |         28 |        300 |
| page/provider                                                                                |          3 |      1,493 |          0 |        153 |      1,646 |
| page/search                                                                                  |          1 |        320 |          0 |         37 |        357 |
| page/service                                                                                 |          3 |      2,221 |          0 |        225 |      2,446 |
| store                                                                                        |          1 |         54 |          0 |         10 |         64 |
| utils                                                                                        |          5 |        317 |          1 |         58 |        376 |
+----------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| filename                                                                                     | language       | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| /home/samnang/Documents/apsor-frontend/src/App.css                                           | PostCSS        |          5 |          0 |          2 |          7 |
| /home/samnang/Documents/apsor-frontend/src/App.jsx                                           | JavaScript JSX |         77 |          1 |          8 |         86 |
| /home/samnang/Documents/apsor-frontend/src/admin/AdminDashboardLayout.jsx                    | JavaScript JSX |         22 |          4 |         12 |         38 |
| /home/samnang/Documents/apsor-frontend/src/admin/components/AdminSelect.jsx                  | JavaScript JSX |        141 |          0 |         19 |        160 |
| /home/samnang/Documents/apsor-frontend/src/admin/components/AdminToast.jsx                   | JavaScript JSX |         42 |          0 |          5 |         47 |
| /home/samnang/Documents/apsor-frontend/src/admin/components/AdminUnauthPage.jsx              | JavaScript JSX |         68 |          0 |         10 |         78 |
| /home/samnang/Documents/apsor-frontend/src/admin/components/CategoryFormModal.jsx            | JavaScript JSX |        289 |          0 |         17 |        306 |
| /home/samnang/Documents/apsor-frontend/src/admin/components/CustomerFormModal.jsx            | JavaScript JSX |        162 |          0 |         11 |        173 |
| /home/samnang/Documents/apsor-frontend/src/admin/components/DeleteModal.jsx                  | JavaScript JSX |         64 |          0 |          4 |         68 |
| /home/samnang/Documents/apsor-frontend/src/admin/components/InputField.jsx                   | JavaScript JSX |         75 |          0 |          8 |         83 |
| /home/samnang/Documents/apsor-frontend/src/admin/components/ProviderAvatarModal.jsx          | JavaScript JSX |        156 |          0 |         19 |        175 |
| /home/samnang/Documents/apsor-frontend/src/admin/components/ProviderFormModal.jsx            | JavaScript JSX |        169 |          0 |         14 |        183 |
| /home/samnang/Documents/apsor-frontend/src/admin/components/SidebarPage.jsx                  | JavaScript JSX |        293 |          0 |         27 |        320 |
| /home/samnang/Documents/apsor-frontend/src/admin/components/SubcategoryFormModal.jsx         | JavaScript JSX |         95 |          0 |          3 |         98 |
| /home/samnang/Documents/apsor-frontend/src/admin/components/TableLayout.jsx                  | JavaScript JSX |        281 |          2 |         17 |        300 |
| /home/samnang/Documents/apsor-frontend/src/admin/components/TopHeader.jsx                    | JavaScript JSX |        226 |          0 |         28 |        254 |
| /home/samnang/Documents/apsor-frontend/src/admin/components/UserFormModal.jsx                | JavaScript JSX |        161 |          0 |          8 |        169 |
| /home/samnang/Documents/apsor-frontend/src/admin/data/adminCategories.js                     | JavaScript     |         19 |          0 |          1 |         20 |
| /home/samnang/Documents/apsor-frontend/src/admin/pages/AdminCategoriesPage.jsx               | JavaScript JSX |        360 |          0 |         47 |        407 |
| /home/samnang/Documents/apsor-frontend/src/admin/pages/AdminCustomerPage.jsx                 | JavaScript JSX |        336 |          0 |         54 |        390 |
| /home/samnang/Documents/apsor-frontend/src/admin/pages/AdminDashboardPage.jsx                | JavaScript JSX |        242 |          0 |         22 |        264 |
| /home/samnang/Documents/apsor-frontend/src/admin/pages/AdminProviderPage.jsx                 | JavaScript JSX |        482 |          0 |         80 |        562 |
| /home/samnang/Documents/apsor-frontend/src/admin/pages/AdminServicesPage.jsx                 | JavaScript JSX |         93 |          0 |         12 |        105 |
| /home/samnang/Documents/apsor-frontend/src/admin/pages/AdminSubcategoriesPage.jsx            | JavaScript JSX |        249 |          0 |         26 |        275 |
| /home/samnang/Documents/apsor-frontend/src/admin/pages/AdminUsersPage.jsx                    | JavaScript JSX |        303 |          0 |         24 |        327 |
| /home/samnang/Documents/apsor-frontend/src/admin/protected/AdminProtectedRoute.jsx           | JavaScript JSX |         19 |          0 |          6 |         25 |
| /home/samnang/Documents/apsor-frontend/src/admin/utils/adminCategoryPage.js                  | JavaScript     |         78 |          0 |         16 |         94 |
| /home/samnang/Documents/apsor-frontend/src/admin/utils/adminCustomerPage.js                  | JavaScript     |          1 |          0 |          2 |          3 |
| /home/samnang/Documents/apsor-frontend/src/admin/utils/adminDashboardPage.js                 | JavaScript     |         63 |          0 |          3 |         66 |
| /home/samnang/Documents/apsor-frontend/src/admin/utils/adminServicePage.js                   | JavaScript     |         41 |          0 |          4 |         45 |
| /home/samnang/Documents/apsor-frontend/src/admin/utils/adminSubcategoryPage.js               | JavaScript     |         45 |          0 |          4 |         49 |
| /home/samnang/Documents/apsor-frontend/src/admin/utils/adminUserPage.js                      | JavaScript     |        211 |          0 |          8 |        219 |
| /home/samnang/Documents/apsor-frontend/src/admin/utils/categoryAdmin.js                      | JavaScript     |        124 |          0 |          7 |        131 |
| /home/samnang/Documents/apsor-frontend/src/api/api.js                                        | JavaScript     |         17 |          0 |          6 |         23 |
